1
15
12,1133,305
13,104,537
14,88,119
15,268,552
1,290,151
2,489,308
3,748,195
4,800,364
5,216,352
6,521,62
7,376,559
8,632,464
9,915,526
10,934,84
11,642,588
12,1133,305,3,748,195,3
12,1133,305,9,915,526,2
13,104,537,15,268,552,42
13,104,537,14,88,119,14
14,88,119,1,290,151,88
14,88,119,13,104,537,14
15,268,552,13,104,537,69
15,268,552,5,216,352,50
1,290,151,2,489,308,1
1,290,151,7,376,559,15
1,290,151,6,521,62,9
1,290,151,5,216,352,74
1,290,151,4,800,364,1
1,290,151,14,88,119,88
2,489,308,8,632,464,26
2,489,308,13,104,537,24
2,489,308,3,748,195,2
3,748,195,4,800,364,3
3,748,195,2,489,308,3
3,748,195,12,1133,305,3
3,748,195,6,521,62,2
4,800,364,3,748,195,1
4,800,364,1,290,151,1
4,800,364,9,915,526,6
5,216,352,15,268,552,5
6,521,62,3,748,195,2
6,521,62,10,934,84,10
6,521,62,1,290,151,9
7,376,559,8,632,464,1
7,376,559,1,290,151,2
8,632,464,9,915,526,31
8,632,464,7,376,559,2
8,632,464,2,489,308,5
8,632,464,11,642,588,4
9,915,526,10,934,84,4
10,934,84,9,915,526,8
10,934,84,12,1133,305,6
