1
14
Sargans,1002,259
Bern,372,303
Visp,455,498
St.Gallen,948,126
Lausanne,144,413
Schaffhausen,710,50
Biel,279,240
Delemont,292,148
Lugano,814,596
Olten,480,197
Basel,389,67
Zuerich,682,172
Interlaken,472,381
Kreuzlingen,901,55
Sargans,1002,259,Zuerich,682,172,93
Sargans,1002,259,St.Gallen,948,126,81
Bern,372,303,Olten,480,197,67
Bern,372,303,Lausanne,144,413,109
Bern,372,303,Visp,455,498,102
Bern,372,303,Interlaken,472,381,56
Visp,455,498,Bern,372,303,102
St.Gallen,948,126,Zuerich,682,172,87
St.Gallen,948,126,Sargans,1002,259,81
Lausanne,144,413,Bern,372,303,109
Lausanne,144,413,Biel,279,240,105
Schaffhausen,710,50,Zuerich,682,172,52
Biel,279,240,Delemont,292,148,46
Biel,279,240,Olten,480,197,66
Biel,279,240,Basel,389,67,98
Biel,279,240,Lausanne,144,413,105
Delemont,292,148,Biel,279,240,46
Delemont,292,148,Basel,389,67,43
Lugano,814,596,Zuerich,682,172,207
Olten,480,197,Zuerich,682,172,67
Olten,480,197,Basel,389,67,49
Olten,480,197,Biel,279,240,66
Olten,480,197,Bern,372,303,67
Basel,389,67,Olten,480,197,49
Basel,389,67,Delemont,292,148,43
Basel,389,67,Biel,279,240,98
Zuerich,682,172,Olten,480,197,67
Zuerich,682,172,Sargans,1002,259,93
Zuerich,682,172,Lugano,814,596,207
Zuerich,682,172,Kreuzlingen,901,55,67
Zuerich,682,172,St.Gallen,948,126,87
Zuerich,682,172,Schaffhausen,710,50,52
Interlaken,472,381,Bern,372,303,56
Kreuzlingen,901,55,Zuerich,682,172,67
